"","sampleName","QL"
"x.pck_2_rep3","x.pck_2_rep3","good"
"x.VECTORLIKE_R151.2_rep2","x.VECTORLIKE_R151.2_rep2","good"
"x.div_1_rep1","x.div_1_rep1","good"
"x.bgal_2_rep3","x.bgal_2_rep3","good"
"x.T21C9.6_rep3","x.T21C9.6_rep3","good"
"x.hxk_2_rep2","x.hxk_2_rep2","good"
"x.pgk_1_rep1","x.pgk_1_rep1","good"
"x.gpd_3_rep3","x.gpd_3_rep3","good"
"x.pck_2_rep2","x.pck_2_rep2","good"
"x.bgal_2_rep1","x.bgal_2_rep1","good"
"x.W06E11.1_rep1","x.W06E11.1_rep1","good"
"x.hxk_3_rep1","x.hxk_3_rep1","good"
"x.pgk_1_rep2","x.pgk_1_rep2","bad"
"x.F53F4.13_rep3","x.F53F4.13_rep3","good"
"x.bgal_2_rep2","x.bgal_2_rep2","good"
"x.T21C9.6_rep1","x.T21C9.6_rep1","good"
"x.pfkb_1.1_rep2","x.pfkb_1.1_rep2","good"
"x.MULTIPLE_chil_19_21_rep1","x.MULTIPLE_chil_19_21_rep1","good"
"x.hxk_2_rep1","x.hxk_2_rep1","good"
"x.gpd_3_rep1","x.gpd_3_rep1","good"
"x.Y57G11C.3_rep3","x.Y57G11C.3_rep3","good"
"x.D2096.12_rep1","x.D2096.12_rep1","good"
"x.gob_1_rep1","x.gob_1_rep1","good"
"x.W06E11.1_rep2","x.W06E11.1_rep2","good"
"x.gob_1_rep3","x.gob_1_rep3","good"
"x.pfkb_1.1_rep1","x.pfkb_1.1_rep1","good"
"x.W06E11.1_rep3","x.W06E11.1_rep3","good"
"x.div_1_rep3","x.div_1_rep3","good"
"x.hxk_3_rep2","x.hxk_3_rep2","good"
"x.pgk_1_rep3","x.pgk_1_rep3","good"
"x.VECTORLIKE_R151.2_rep3","x.VECTORLIKE_R151.2_rep3","good"
"x.div_1_rep2","x.div_1_rep2","good"
"x.Y57G11C.3_rep2","x.Y57G11C.3_rep2","good"
"x.pfkb_1.1_rep3","x.pfkb_1.1_rep3","good"
"x.Y57G11C.3_rep1","x.Y57G11C.3_rep1","good"
"x.D2096.12_rep3","x.D2096.12_rep3","good"
"x.F53F4.13_rep2","x.F53F4.13_rep2","good"
"x.hxk_3_rep3","x.hxk_3_rep3","good"
"x.F53F4.13_rep1","x.F53F4.13_rep1","good"
"x.pck_2_rep1","x.pck_2_rep1","good"
"x.vector_well2_rep3","x.vector_well2_rep3","good"
"x.MULTIPLE_chil_19_21_rep2","x.MULTIPLE_chil_19_21_rep2","good"
"x.vector_well2_rep1","x.vector_well2_rep1","good"
"x.gob_1_rep2","x.gob_1_rep2","good"
"x.vector_well1_rep3","x.vector_well1_rep3","good"
"x.D2096.12_rep2","x.D2096.12_rep2","good"
"x.vector_well1_rep1","x.vector_well1_rep1","good"
"x.VECTORLIKE_R151.2_rep1","x.VECTORLIKE_R151.2_rep1","good"
"x.vector_well2_rep2","x.vector_well2_rep2","good"
"x.hxk_2_rep3","x.hxk_2_rep3","good"
"x.gpd_3_rep2","x.gpd_3_rep2","good"
"x.T21C9.6_rep2","x.T21C9.6_rep2","good"
"x.MULTIPLE_chil_19_21_rep3","x.MULTIPLE_chil_19_21_rep3","good"
"x.vector_well1_rep2","x.vector_well1_rep2","good"
