"","sampleName","QL"
"x.pck_1_rep3","x.pck_1_rep3","good"
"x.ipgm_1_rep2","x.ipgm_1_rep2","good"
"x.gale_1_rep1","x.gale_1_rep1","good"
"x.gyg_2_rep3","x.gyg_2_rep3","good"
"x.tre_2_rep3","x.tre_2_rep3","good"
"x.ZK632.4_rep2","x.ZK632.4_rep2","good"
"x.dlat_2_rep1","x.dlat_2_rep1","good"
"x.pfkb_1.2_rep3","x.pfkb_1.2_rep3","good"
"x.pck_1_rep2","x.pck_1_rep2","good"
"x.gyg_2_rep1","x.gyg_2_rep1","good"
"x.tpi_1_rep1","x.tpi_1_rep1","good"
"x.Y47D9A.1_rep1","x.Y47D9A.1_rep1","good"
"x.dlat_2_rep2","x.dlat_2_rep2","good"
"x.F07A11.5_rep3","x.F07A11.5_rep3","good"
"x.gyg_2_rep2","x.gyg_2_rep2","good"
"x.tre_2_rep1","x.tre_2_rep1","good"
"x.pck_3_rep2","x.pck_3_rep2","good"
"x.C50D2.7_rep1","x.C50D2.7_rep1","good"
"x.ZK632.4_rep1","x.ZK632.4_rep1","good"
"x.pfkb_1.2_rep1","x.pfkb_1.2_rep1","good"
"x.polg_1_rep3","x.polg_1_rep3","good"
"x.VECTORLIKE_gsy_1_rep1","x.VECTORLIKE_gsy_1_rep1","good"
"x.pgph_3_rep1","x.pgph_3_rep1","good"
"x.tpi_1_rep2","x.tpi_1_rep2","good"
"x.pgph_3_rep3","x.pgph_3_rep3","good"
"x.pck_3_rep1","x.pck_3_rep1","good"
"x.tpi_1_rep3","x.tpi_1_rep3","good"
"x.gale_1_rep3","x.gale_1_rep3","good"
"x.Y47D9A.1_rep2","x.Y47D9A.1_rep2","good"
"x.dlat_2_rep3","x.dlat_2_rep3","good"
"x.ipgm_1_rep3","x.ipgm_1_rep3","good"
"x.gale_1_rep2","x.gale_1_rep2","good"
"x.polg_1_rep2","x.polg_1_rep2","good"
"x.pck_3_rep3","x.pck_3_rep3","good"
"x.polg_1_rep1","x.polg_1_rep1","good"
"x.VECTORLIKE_gsy_1_rep3","x.VECTORLIKE_gsy_1_rep3","good"
"x.F07A11.5_rep2","x.F07A11.5_rep2","good"
"x.Y47D9A.1_rep3","x.Y47D9A.1_rep3","good"
"x.F07A11.5_rep1","x.F07A11.5_rep1","good"
"x.pck_1_rep1","x.pck_1_rep1","good"
"x.vector_well2_rep3","x.vector_well2_rep3","good"
"x.C50D2.7_rep2","x.C50D2.7_rep2","good"
"x.vector_well2_rep1","x.vector_well2_rep1","good"
"x.pgph_3_rep2","x.pgph_3_rep2","good"
"x.vector_well1_rep3","x.vector_well1_rep3","good"
"x.VECTORLIKE_gsy_1_rep2","x.VECTORLIKE_gsy_1_rep2","good"
"x.vector_well1_rep1","x.vector_well1_rep1","good"
"x.ipgm_1_rep1","x.ipgm_1_rep1","good"
"x.vector_well2_rep2","x.vector_well2_rep2","good"
"x.ZK632.4_rep3","x.ZK632.4_rep3","good"
"x.pfkb_1.2_rep2","x.pfkb_1.2_rep2","good"
"x.tre_2_rep2","x.tre_2_rep2","good"
"x.C50D2.7_rep3","x.C50D2.7_rep3","good"
"x.vector_well1_rep2","x.vector_well1_rep2","good"
