"","sampleName","QL"
"x.alh_11_rep3","x.alh_11_rep3","good"
"x.enol_1_rep2","x.enol_1_rep2","good"
"x.C46C2.5_rep1","x.C46C2.5_rep1","good"
"x.shpk_1_rep3","x.shpk_1_rep3","good"
"x.fbp_1_rep3","x.fbp_1_rep3","good"
"x.klo_2_rep2","x.klo_2_rep2","good"
"x.D2063.1_rep1","x.D2063.1_rep1","good"
"x.aldo_2_rep3","x.aldo_2_rep3","good"
"x.alh_11_rep2","x.alh_11_rep2","good"
"x.shpk_1_rep1","x.shpk_1_rep1","good"
"x.MULTIPLE_gpd_1_2_3_4_rep1","x.MULTIPLE_gpd_1_2_3_4_rep1","good"
"x.pyk_1_rep1","x.pyk_1_rep1","good"
"x.D2063.1_rep2","x.D2063.1_rep2","good"
"x.tps_1_rep3","x.tps_1_rep3","good"
"x.shpk_1_rep2","x.shpk_1_rep2","good"
"x.fbp_1_rep1","x.fbp_1_rep1","good"
"x.vector_well1_rep2","x.vector_well1_rep2","good"
"x.klo_1_rep1","x.klo_1_rep1","good"
"x.klo_2_rep1","x.klo_2_rep1","good"
"x.aldo_2_rep1","x.aldo_2_rep1","good"
"x.gpd_2_rep3","x.gpd_2_rep3","good"
"x.R02D5.3_rep1","x.R02D5.3_rep1","good"
"x.gyg_1_rep1","x.gyg_1_rep1","good"
"x.MULTIPLE_gpd_1_2_3_4_rep2","x.MULTIPLE_gpd_1_2_3_4_rep2","good"
"x.gyg_1_rep3","x.gyg_1_rep3","good"
"x.vector_well1_rep1","x.vector_well1_rep1","good"
"x.MULTIPLE_gpd_1_2_3_4_rep3","x.MULTIPLE_gpd_1_2_3_4_rep3","good"
"x.C46C2.5_rep3","x.C46C2.5_rep3","good"
"x.pyk_1_rep2","x.pyk_1_rep2","good"
"x.D2063.1_rep3","x.D2063.1_rep3","good"
"x.enol_1_rep3","x.enol_1_rep3","good"
"x.C46C2.5_rep2","x.C46C2.5_rep2","good"
"x.gpd_2_rep2","x.gpd_2_rep2","good"
"x.vector_well1_rep3","x.vector_well1_rep3","good"
"x.gpd_2_rep1","x.gpd_2_rep1","good"
"x.R02D5.3_rep3","x.R02D5.3_rep3","good"
"x.tps_1_rep2","x.tps_1_rep2","good"
"x.pyk_1_rep3","x.pyk_1_rep3","good"
"x.tps_1_rep1","x.tps_1_rep1","good"
"x.alh_11_rep1","x.alh_11_rep1","good"
"x.vector_well2_rep3","x.vector_well2_rep3","good"
"x.klo_1_rep2","x.klo_1_rep2","bad"
"x.vector_well2_rep1","x.vector_well2_rep1","good"
"x.gyg_1_rep2","x.gyg_1_rep2","good"
"x.R02D5.3_rep2","x.R02D5.3_rep2","good"
"x.enol_1_rep1","x.enol_1_rep1","good"
"x.vector_well2_rep2","x.vector_well2_rep2","good"
"x.klo_2_rep3","x.klo_2_rep3","good"
"x.aldo_2_rep2","x.aldo_2_rep2","good"
"x.fbp_1_rep2","x.fbp_1_rep2","good"
"x.klo_1_rep3","x.klo_1_rep3","good"
