"","vector1","vector2","vector3","vector4","vector5","vector6","RNAi1","RNAi2","RNAi3","RNAi4","RNAi5","RNAi6","ctr_readsCount","logFC1","logFC2","logFC3","logFC4","logFC5","logFC6","names","NotCorrected"
"gpi-1",132.038671703014,116.426459968731,122.866833343365,NA,NA,NA,26.0712004484246,23.4475075185685,20.9084073209655,NA,NA,NA,650.5,-2.34043161195699,-2.31191249661048,-2.55494045212223,NA,NA,NA,"gpi-1",FALSE
"R04B5.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R04B5.5",TRUE
"adh-5",70.2745525305062,69.0884613502548,59.8150469266648,NA,NA,NA,23.1792915710625,19.5321342217981,19.5120863437695,NA,NA,NA,324.5,-1.60016588843642,-1.82259518525435,-1.61614040351631,NA,NA,NA,"adh-5",FALSE
"bgal-1",3.11319029945867,3.30911440536637,2.32134228943123,NA,NA,NA,0.707041068480463,0.72507995366014,1.61013180807336,NA,NA,NA,16,-2.1385278453565,-2.19023317733605,-0.527780473824709,NA,NA,NA,"bgal-1",FALSE
"Y43F4B.5",21.6847790463213,21.8311837615633,24.8350785529968,NA,NA,NA,4.2370430303037,3.47297915357621,3.09047473873217,NA,NA,NA,113.5,-2.35555305763617,-2.65214470417941,-3.00647893226321,NA,NA,NA,"Y43F4B.5",FALSE
"tre-1",194.541910368539,211.912643594686,194.392724033648,NA,NA,NA,41.6403879058821,36.5069788826945,56.051699882659,NA,NA,NA,1026,-2.22402557659954,-2.53722547820076,-1.79414418952639,NA,NA,NA,"tre-1",FALSE
"F41E6.5",2.58845213068643,1.96984924292109,2.39111347757941,NA,NA,NA,2.504196236102,2.90399478647524,1.9057216624906,NA,NA,NA,12,-0.0477420176100057,0.559953642126761,-0.327345175336025,NA,NA,NA,"F41E6.5",TRUE
"acs-19",455.53066808539,478.83152007462,472.446106015834,NA,NA,NA,110.801452135309,113.177031512692,102.994421570074,NA,NA,NA,2472.5,-2.03957139600293,-2.08093692078797,-2.19758356458511,NA,NA,NA,"acs-19",FALSE
"bre-1",6.78479860420692,8.8382892593137,7.89384318514881,NA,NA,NA,2.7318065949226,4.54005342961879,2.18123440417401,NA,NA,NA,36.5,-1.31245064416524,-0.961057872382748,-1.85558304362083,NA,NA,NA,"bre-1",FALSE
"alh-12",27.1256112687377,35.6591769627578,43.4551215787714,NA,NA,NA,1.5852349106773,0.444536117670489,1.44294314226842,NA,NA,NA,191,-4.09688709920026,-6.32582895486834,-4.91243986360203,NA,NA,NA,"alh-12",FALSE
"pgph-2",117.487791931214,119.059013700458,140.985282689293,NA,NA,NA,67.428276028505,75.9140645918769,61.5984722278656,NA,NA,NA,638,-0.801085238048029,-0.649237744568342,-1.19457809441735,NA,NA,NA,"pgph-2",FALSE
"tre-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tre-4",TRUE
"aagr-2",47.0207916752558,54.8731671818279,42.3247130959903,NA,NA,NA,2.73937543022869,0.647751145669354,1.04322716062777,NA,NA,NA,249,-4.101379923985,-6.40451737569883,-5.34237504750603,NA,NA,NA,"aagr-2",TRUE
"agl-1",16.1512577650553,15.5638314456071,16.8684404989135,NA,NA,NA,9.91825845730977,8.45609166273269,6.67107995667356,NA,NA,NA,87,-0.703487792139353,-0.880134340786706,-1.33833436341768,NA,NA,NA,"agl-1",TRUE
"pfk-1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pfk-1.2",TRUE
