"","sampleName","QL"
"x.alh_9_rep3","x.alh_9_rep3","good"
"x.tkt_1_rep2","x.tkt_1_rep2","good"
"x.rpia_1_rep1","x.rpia_1_rep1","good"
"x.Y39G8B.1_rep3","x.Y39G8B.1_rep3","good"
"x.aldo_1_rep3","x.aldo_1_rep3","good"
"x.ZK1058.3_rep2","x.ZK1058.3_rep2","good"
"x.cha_1_rep1","x.cha_1_rep1","good"
"x.K08E3.5_rep3","x.K08E3.5_rep3","good"
"x.alh_9_rep2","x.alh_9_rep2","good"
"x.Y39G8B.1_rep1","x.Y39G8B.1_rep1","good"
"x.gpd_4_rep1","x.gpd_4_rep1","good"
"x.tald_1_rep1","x.tald_1_rep1","good"
"x.cha_1_rep2","x.cha_1_rep2","good"
"x.alh_4_rep3","x.alh_4_rep3","good"
"x.Y39G8B.1_rep2","x.Y39G8B.1_rep2","good"
"x.aldo_1_rep1","x.aldo_1_rep1","good"
"x.ipgm_1_rep2","x.ipgm_1_rep2","good"
"x.gspd_1_rep1","x.gspd_1_rep1","good"
"x.ZK1058.3_rep1","x.ZK1058.3_rep1","good"
"x.K08E3.5_rep1","x.K08E3.5_rep1","good"
"x.Y17G7B.3_rep3","x.Y17G7B.3_rep3","good"
"x.vector_well2_rep1","x.vector_well2_rep1","good"
"x.pyk_2_rep1","x.pyk_2_rep1","good"
"x.gpd_4_rep2","x.gpd_4_rep2","good"
"x.pyk_2_rep3","x.pyk_2_rep3","good"
"x.ipgm_1_rep1","x.ipgm_1_rep1","good"
"x.gpd_4_rep3","x.gpd_4_rep3","good"
"x.rpia_1_rep3","x.rpia_1_rep3","good"
"x.tald_1_rep2","x.tald_1_rep2","good"
"x.cha_1_rep3","x.cha_1_rep3","good"
"x.tkt_1_rep3","x.tkt_1_rep3","good"
"x.rpia_1_rep2","x.rpia_1_rep2","good"
"x.Y17G7B.3_rep2","x.Y17G7B.3_rep2","good"
"x.ipgm_1_rep3","x.ipgm_1_rep3","good"
"x.Y17G7B.3_rep1","x.Y17G7B.3_rep1","good"
"x.vector_well2_rep3","x.vector_well2_rep3","good"
"x.alh_4_rep2","x.alh_4_rep2","good"
"x.tald_1_rep3","x.tald_1_rep3","good"
"x.alh_4_rep1","x.alh_4_rep1","good"
"x.alh_9_rep1","x.alh_9_rep1","good"
"x.gspd_1_rep2","x.gspd_1_rep2","good"
"x.pyk_2_rep2","x.pyk_2_rep2","good"
"x.vector_well1_rep3","x.vector_well1_rep3","good"
"x.vector_well2_rep2","x.vector_well2_rep2","good"
"x.vector_well1_rep1","x.vector_well1_rep1","good"
"x.tkt_1_rep1","x.tkt_1_rep1","good"
"x.ZK1058.3_rep3","x.ZK1058.3_rep3","good"
"x.K08E3.5_rep2","x.K08E3.5_rep2","good"
"x.aldo_1_rep2","x.aldo_1_rep2","good"
"x.gspd_1_rep3","x.gspd_1_rep3","good"
"x.vector_well1_rep2","x.vector_well1_rep2","good"
