"","vector1","vector2","vector3","vector4","vector5","vector6","RNAi1","RNAi2","RNAi3","RNAi4","RNAi5","RNAi6","ctr_readsCount","logFC1","logFC2","logFC3","logFC4","logFC5","logFC6","names","NotCorrected"
"pck-1",69.6206883229681,84.7313845951353,63.4306246509305,NA,NA,NA,4.18978433890843,11.7074175856339,3.50443626586896,NA,NA,NA,468,-4.05456818671473,-2.85547356210795,-4.17792525782583,NA,NA,NA,"pck-1",TRUE
"ipgm-1",45.8843392322516,52.7116374482114,61.4159868098246,NA,NA,NA,25.1770787874719,19.4066830806145,18.6418274672237,NA,NA,NA,369,-0.865890930241924,-1.44156795006809,-1.72007094836014,NA,NA,NA,"ipgm-1",FALSE
"gale-1",130.259391438078,124.095149703574,150.215593546653,NA,NA,NA,31.6594013975628,20.677967944187,52.0445448076178,NA,NA,NA,894,-2.04068150865755,-2.58528040653482,-1.52921572708359,NA,NA,NA,"gale-1",FALSE
"gyg-2",43.1705227211377,49.8494699267226,48.8145610260855,NA,NA,NA,3.93614553180336,3.07997573703819,4.16100545556768,NA,NA,NA,312.5,-3.45519109367845,-4.01658727280279,-3.55230747231174,NA,NA,NA,"gyg-2",FALSE
"tre-2",47.4419509390588,52.412355465722,45.1363109039095,NA,NA,NA,10.1784937679859,8.92580425215397,10.976752610066,NA,NA,NA,295.5,-2.22063925398327,-2.55385287370159,-2.03983720155623,NA,NA,NA,"tre-2",FALSE
"ZK632.4",15.8106009267221,22.4072060973564,14.9907071086443,NA,NA,NA,3.98829170498473,6.90250811260407,6.64621586948239,NA,NA,NA,108,-1.98704936455044,-1.69877019021364,-1.17346337880283,NA,NA,NA,"ZK632.4",FALSE
"dlat-2",61.5861811772107,57.7053461917352,49.8920648798708,NA,NA,NA,18.7602741814072,12.9969497458641,11.8906201035098,NA,NA,NA,385,-1.71492575961928,-2.15053190866355,-2.0689864247917,NA,NA,NA,"dlat-2",TRUE
"pfkb-1.2",41.2669432826492,47.787193597065,43.2935057496852,NA,NA,NA,20.5209528904475,18.57602803388,17.2314010792799,NA,NA,NA,283.5,-1.00788885521905,-1.36318199023644,-1.3291106180777,NA,NA,NA,"pfkb-1.2",FALSE
"tpi-1",86.2689431420287,81.3852746740397,77.3166921586565,NA,NA,NA,31.4806305265643,31.3528879253181,27.6068670688827,NA,NA,NA,523,-1.45437684509081,-1.37616944989503,-1.4857527412679,NA,NA,NA,"tpi-1",FALSE
"Y47D9A.1",95.4602606234857,57.7315762892231,79.2197538982414,NA,NA,NA,40.321036719493,52.3322335635159,43.3401516791754,NA,NA,NA,494.5,-1.2433675418567,-0.141660781738807,-0.870156016920425,NA,NA,NA,"Y47D9A.1",FALSE
"F07A11.5",6.46674728005768,5.27386415050676,5.25467185850122,NA,NA,NA,1.22682251129341,0.768009751880625,0.985448862102199,NA,NA,NA,35.5,-2.39811368672954,-2.77966387435234,-2.41474776164798,NA,NA,NA,"F07A11.5",FALSE
"pck-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pck-3",TRUE
"C50D2.7",84.7405648491133,107.001608826473,97.8971634878807,NA,NA,NA,38.9400740892174,40.2248792461794,38.8140523654018,NA,NA,NA,639,-1.12179711620255,-1.41147249333902,-1.33468799422561,NA,NA,NA,"C50D2.7",FALSE
"polg-1",6.93101662100172,5.8175081547379,7.28678026250946,NA,NA,NA,6.00109142430485,5.83430647404466,7.25886943108611,NA,NA,NA,48.5,-0.207842069193978,0.0041598445429755,-0.00553661999981869,NA,NA,NA,"polg-1",TRUE
"pgph-3",11.8398494285558,6.84108687406767,12.4017292346936,NA,NA,NA,5.01613389305362,2.62995068491806,2.8590167383994,NA,NA,NA,80.5,-1.23900297095858,-1.37918980341854,-2.11695032526312,NA,NA,NA,"pgph-3",FALSE
