"","vector1","vector2","vector3","vector4","vector5","vector6","RNAi1","RNAi2","RNAi3","RNAi4","RNAi5","RNAi6","ctr_readsCount","logFC1","logFC2","logFC3","logFC4","logFC5","logFC6","names","NotCorrected"
"hxk-1",183.642899998272,172.670088505538,161.628587611198,NA,NA,NA,22.160981860535,37.6195657422272,27.6281586192648,NA,NA,NA,880,-3.05080941196606,-2.19846308719914,-2.54847107664558,NA,NA,NA,"hxk-1",FALSE
"sodh-1",13.7209891439949,12.5839090788871,13.502066258569,NA,NA,NA,16.1382372056789,8.55529449272952,3.07413541039488,NA,NA,NA,72.5,0.234098511407796,-0.556690730628005,-2.1349275840018,NA,NA,NA,"sodh-1",TRUE
"T22F3.2",96.8206497888973,121.724493346928,115.2141113918,NA,NA,NA,51.2900207373883,71.3478273471763,66.5106114657384,NA,NA,NA,592.5,-0.916636621917511,-0.770678092534932,-0.792660988956889,NA,NA,NA,"T22F3.2",FALSE
"Y105E8B.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y105E8B.9",FALSE
"Y71F9B.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y71F9B.9",FALSE
"him-14",9.30466818433704,6.82440881317097,9.36917793150581,NA,NA,NA,8.7445951902363,4.28732722614961,5.08878228832362,NA,NA,NA,53.5,-0.0895631033256599,-0.670625539572644,-0.880601998489894,NA,NA,NA,"him-14",TRUE
"icl-1",18.5736207075552,11.6739938719774,15.5179366973586,NA,NA,NA,3.35667974023495,3.95421847473306,3.01957553071871,NA,NA,NA,84.5,-2.46814827738288,-1.56183372721843,-2.36151908036447,NA,NA,NA,"icl-1",FALSE
"alh-1",46.4994266452645,55.8101809319312,47.6107357189108,NA,NA,NA,6.77052501584867,4.77506689271833,6.44738397395257,NA,NA,NA,269,-2.77987331130326,-3.54693547473556,-2.88450111187514,NA,NA,NA,"alh-1",FALSE
"T04A8.7",80.2049463030704,71.6338125306867,80.6904207901173,NA,NA,NA,13.2082926007981,21.6789641466224,16.3593099345628,NA,NA,NA,445,-2.60224722611163,-1.72434490372366,-2.30228551923069,NA,NA,NA,"T04A8.7",FALSE
"tps-2",4.67875498623711,4.66959754879096,4.60975289718931,NA,NA,NA,389.954593906778,255.029634611324,557.157390106165,NA,NA,NA,26.5,6.38103765629794,5.77122287269262,6.9172517005123,NA,NA,NA,"tps-2",TRUE
"ger-1",7.88195699338298,11.7239874769589,8.75502852580064,NA,NA,NA,1.76977815577992,3.29218648919587,3.37069028519564,NA,NA,NA,46,-2.15498534990878,-1.83234536602816,-1.3770678074458,NA,NA,NA,"ger-1",FALSE
"gana-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gana-1",TRUE
"R05F9.6",84.568269721079,81.8629359252677,80.5685968117347,NA,NA,NA,21.4422566335405,9.71894454999918,13.7170225447378,NA,NA,NA,430.5,-1.97965971477758,-3.07433885356658,-2.55425026959565,NA,NA,NA,"R05F9.6",TRUE
"men-1",246.508176255043,243.718962692838,262.115221330756,NA,NA,NA,83.8126221340707,60.5297584140875,73.7670866789152,NA,NA,NA,1415,-1.55639606466003,-2.00950200703971,-1.82915197024681,NA,NA,NA,"men-1",FALSE
"alh-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alh-5",TRUE
