"","sampleName","QL"
"x.hxk_1_rep3","x.hxk_1_rep3","good"
"x.MULTIPLE_col_166_167_168_169_170_rep2","x.MULTIPLE_col_166_167_168_169_170_rep2","good"
"x.sodh_1_rep1","x.sodh_1_rep1","good"
"x.T22F3.2_rep3","x.T22F3.2_rep3","good"
"x.Y105E8B.9_rep3","x.Y105E8B.9_rep3","good"
"x.Y71F9B.9_rep2","x.Y71F9B.9_rep2","good"
"x.him_14_rep1","x.him_14_rep1","good"
"x.icl_1_rep3","x.icl_1_rep3","good"
"x.hxk_1_rep2","x.hxk_1_rep2","good"
"x.T22F3.2_rep1","x.T22F3.2_rep1","good"
"x.alh_1_rep1","x.alh_1_rep1","good"
"x.T04A8.7_rep1","x.T04A8.7_rep1","good"
"x.him_14_rep2","x.him_14_rep2","bad"
"x.tps_2_rep3","x.tps_2_rep3","good"
"x.T22F3.2_rep2","x.T22F3.2_rep2","good"
"x.Y105E8B.9_rep1","x.Y105E8B.9_rep1","good"
"x.ger_1_rep2","x.ger_1_rep2","good"
"x.gana_1_rep1","x.gana_1_rep1","good"
"x.Y71F9B.9_rep1","x.Y71F9B.9_rep1","good"
"x.icl_1_rep1","x.icl_1_rep1","good"
"x.R05F9.6_rep3","x.R05F9.6_rep3","good"
"x.men_1_rep1","x.men_1_rep1","good"
"x.alh_5_rep1","x.alh_5_rep1","good"
"x.alh_1_rep2","x.alh_1_rep2","good"
"x.alh_5_rep3","x.alh_5_rep3","good"
"x.ger_1_rep1","x.ger_1_rep1","good"
"x.alh_1_rep3","x.alh_1_rep3","good"
"x.sodh_1_rep3","x.sodh_1_rep3","good"
"x.T04A8.7_rep2","x.T04A8.7_rep2","good"
"x.him_14_rep3","x.him_14_rep3","good"
"x.MULTIPLE_col_166_167_168_169_170_rep3","x.MULTIPLE_col_166_167_168_169_170_rep3","good"
"x.sodh_1_rep2","x.sodh_1_rep2","good"
"x.R05F9.6_rep2","x.R05F9.6_rep2","good"
"x.ger_1_rep3","x.ger_1_rep3","good"
"x.R05F9.6_rep1","x.R05F9.6_rep1","good"
"x.men_1_rep3","x.men_1_rep3","good"
"x.tps_2_rep2","x.tps_2_rep2","good"
"x.T04A8.7_rep3","x.T04A8.7_rep3","good"
"x.tps_2_rep1","x.tps_2_rep1","good"
"x.hxk_1_rep1","x.hxk_1_rep1","good"
"x.vector_well2_rep3","x.vector_well2_rep3","good"
"x.gana_1_rep2","x.gana_1_rep2","good"
"x.vector_well2_rep1","x.vector_well2_rep1","good"
"x.alh_5_rep2","x.alh_5_rep2","good"
"x.vector_well1_rep3","x.vector_well1_rep3","good"
"x.men_1_rep2","x.men_1_rep2","good"
"x.vector_well1_rep1","x.vector_well1_rep1","good"
"x.MULTIPLE_col_166_167_168_169_170_rep1","x.MULTIPLE_col_166_167_168_169_170_rep1","good"
"x.vector_well2_rep2","x.vector_well2_rep2","good"
"x.Y71F9B.9_rep3","x.Y71F9B.9_rep3","good"
"x.icl_1_rep2","x.icl_1_rep2","good"
"x.Y105E8B.9_rep2","x.Y105E8B.9_rep2","good"
"x.gana_1_rep3","x.gana_1_rep3","good"
"x.vector_well1_rep2","x.vector_well1_rep2","good"
